,variables,VIF
141,"0__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)",225241922897.32156
142,0__autocorrelation__lag_8,7.369897680422368
143,0__fourier_entropy__bins_3,6.275860452544378
144,"0__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",36.429860068148095
145,0__approximate_entropy__m_2__r_0.7,8.58228791938133
146,"0__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",31.99501198830412
147,"0__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",71519197519.00487
148,"0__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",50947714302.83434
149,0__symmetry_looking__r_0.05,10.368126926302477
150,0__lempel_ziv_complexity__bins_100,6.884695313030867
151,"0__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)",12641664.67666863
152,"0__cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)",68430763568.78246
153,0__fourier_entropy__bins_5,7.318245658243357
154,"0__agg_autocorrelation__f_agg_""mean""__maxlag_40",6.22241560428726
155,0__energy_ratio_by_chunks__num_segments_10__segment_focus_4,20.12828745753307
156,"0__fft_coefficient__attr_""real""__coeff_2",5361782388.444113
157,"0__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",1.7944320246698897
158,"0__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",2.0792264878839855
159,0__fourier_entropy__bins_10,6.99311533354022
160,"0__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",16366251516.740181
161,0__large_standard_deviation__r_0.2,10.020125245904792
162,0__number_crossing_m__m_0,27.78228734072309
163,0__energy_ratio_by_chunks__num_segments_10__segment_focus_2,30.645181071383977
164,0__ar_coefficient__coeff_0__k_10,4757.605380911854
165,0__count_above__t_0,54.82448592008683
166,0__range_count__max_0__min_-1000000000000.0,48.415539599334856
167,0__range_count__max_1000000000000.0__min_0,53.197515241748704
168,0__count_below__t_0,43.67784672687663
169,0__ar_coefficient__coeff_1__k_10,3.6795758478156526
170,0__benford_correlation,3.730361162338003
171,0__autocorrelation__lag_1,9.110494300733135
172,0__partial_autocorrelation__lag_1,9.308744132240012
173,"0__fft_coefficient__attr_""angle""__coeff_3",1296.7257357110386
174,"0__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",57.730375827176864
175,0__fourier_entropy__bins_2,4.673149773050013
176,0__partial_autocorrelation__lag_2,41.615305577842854
177,0__cid_ce__normalize_True,6.791920647123281
178,"0__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",13623773.808437577
179,"0__fft_coefficient__attr_""angle""__coeff_6",1735.027003292383
180,0__ratio_beyond_r_sigma__r_1.5,10.748600551310894
181,"0__agg_autocorrelation__f_agg_""median""__maxlag_40",9.049142986696795
182,"0__fft_coefficient__attr_""angle""__coeff_4",1682.740977644027
183,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",26500.600311691647
184,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",11737.090942389548
185,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",20933.09450486298
186,0__autocorrelation__lag_2,32.93441171108659
187,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",22957.106833679245
188,0__quantile__q_0.2,5.090661199495824
189,"0__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)",17613928237.08365
190,0__partial_autocorrelation__lag_8,2.6787947638382343
191,"0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",132642170864.73938
192,"0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",143241984935.68793
193,0__autocorrelation__lag_6,12.001139575552001
194,"0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",141620403055.62793
195,"0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",146761593123.05072
196,"0__fft_coefficient__attr_""angle""__coeff_5",1350.4673765233267
197,"0__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",6302447281.75171
198,"0__fft_coefficient__attr_""real""__coeff_1",18674930812.313515
199,"0__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)",26651672549.239532
200,0__c3__lag_1,12699.891021640977
201,"0__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",14.147100281700471
202,"0__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)",130386057740.05865
203,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",24880.053131605
204,"0__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)",25265210837.239742
205,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",15985.673904028856
206,0__ar_coefficient__coeff_2__k_10,6.843504963071795
207,0__ratio_beyond_r_sigma__r_2,8.812148085930083
208,0__count_above_mean,53.756352298432105
209,0__count_below_mean,50.00045216931071
210,0__range_count__max_1__min_-1,12.830204068993341
211,"0__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)",49336674160.25433
212,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",3085.745052451184
213,"0__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",88980205426.8228
214,0__number_cwt_peaks__n_1,2.807946714094415
215,0__fourier_entropy__bins_100,7.192356991804062
216,"0__fft_coefficient__attr_""imag""__coeff_2",5768565220.260551
217,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0",1.892586419922203
218,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",173.34841004930985
219,0__index_mass_quantile__q_0.9,9.231298912895628
220,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",4.455681709821452
221,0__lempel_ziv_complexity__bins_2,6.582046524212074
222,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",2494.089183861729
223,0__number_cwt_peaks__n_5,2.4852622801246897
224,"0__fft_coefficient__attr_""imag""__coeff_3",4451202299.501909
225,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",2.0997524593153196
226,0__partial_autocorrelation__lag_7,3.719385207145937
227,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",1133.9608348037762
228,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",3.203310492894461
229,0__ratio_beyond_r_sigma__r_2.5,4.729827850898732
230,0__quantile__q_0.8,601.7288658241293
231,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",3.3592678030027296
232,"0__fft_aggregated__aggtype_""skew""",9.526993596511353
233,0__number_peaks__n_10,15.537422966140069
234,"0__fft_coefficient__attr_""angle""__coeff_8",1402.2592649039439
235,"0__linear_trend__attr_""rvalue""",13.08993278408537
236,"0__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",65021792.86174679
237,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",1.4276794891563511
238,"0__fft_coefficient__attr_""angle""__coeff_7",1373.2737569513706
239,"0__linear_trend__attr_""pvalue""",13.14622434977451
240,0__ar_coefficient__coeff_3__k_10,4.004276946594701
241,0__time_reversal_asymmetry_statistic__lag_2,15583926.30803179
242,"0__fft_coefficient__attr_""angle""__coeff_2",5582.730359669929
243,"0__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)",1164193580.7707176
244,0__quantile__q_0.3,4.4931838646512015
245,"0__fft_coefficient__attr_""angle""__coeff_9",1159.5172123130078
246,0__lempel_ziv_complexity__bins_10,5.554826532719208
247,0__ar_coefficient__coeff_8__k_10,137.15667036831272
248,0__kurtosis,365.7624542785436
249,0__variation_coefficient,34.47292076036579
250,0__ar_coefficient__coeff_7__k_10,89.05786802565176
251,"0__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",14722818072.919395
252,0__time_reversal_asymmetry_statistic__lag_1,192662422.51329195
253,"0__fft_coefficient__attr_""real""__coeff_5",2351455067.3012414
254,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",2.206426078443954
255,"0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",5024154820.388342
256,0__ratio_beyond_r_sigma__r_0.5,6.6894035794623985
257,0__index_mass_quantile__q_0.6,9.819859069160927
258,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",2.2774197481841334
259,0__lempel_ziv_complexity__bins_3,6.104535583021514
260,"0__fft_coefficient__attr_""real""__coeff_4",926579175.065582
261,"0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",5027817474.637347
262,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",2.5541216058576737
263,0__skewness,156.12337901733093
264,"0__fft_coefficient__attr_""angle""__coeff_13",404110.0471369474
265,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",2.1758151405683974
266,0__large_standard_deviation__r_0.25,4.88969552563912
