,variables,VIF
145,0__approximate_entropy__m_2__r_0.7,8.636181530653245
146,"0__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",32.01174874860437
147,"0__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",74076626571.76805
148,"0__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",59227886233.559265
149,0__symmetry_looking__r_0.05,10.567795527280268
150,0__lempel_ziv_complexity__bins_100,6.970581283474594
151,"0__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)",23827377.583824437
152,"0__cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)",44335495445.663475
153,0__fourier_entropy__bins_5,7.512569672911509
154,"0__agg_autocorrelation__f_agg_""mean""__maxlag_40",6.537945126796503
155,0__energy_ratio_by_chunks__num_segments_10__segment_focus_4,20.044393927555493
156,"0__fft_coefficient__attr_""real""__coeff_2",4751893173.527044
157,"0__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",1.7930960304692676
158,"0__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",2.078837039073508
159,0__fourier_entropy__bins_10,7.026344238258008
160,"0__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",18149795987.5491
161,0__large_standard_deviation__r_0.2,9.858827489979056
162,0__number_crossing_m__m_0,27.93390458869362
163,0__energy_ratio_by_chunks__num_segments_10__segment_focus_2,32.640812971625316
164,0__ar_coefficient__coeff_0__k_10,4529.755789911437
165,0__count_above__t_0,54.607837492805395
166,0__range_count__max_0__min_-1000000000000.0,48.475761923716995
167,0__range_count__max_1000000000000.0__min_0,36.69836296700045
168,0__count_below__t_0,45.91005590480806
169,0__ar_coefficient__coeff_1__k_10,3.6281351319403767
170,0__benford_correlation,3.7837630833006126
171,0__autocorrelation__lag_1,9.336902319043102
172,0__partial_autocorrelation__lag_1,8.655743770644182
173,"0__fft_coefficient__attr_""angle""__coeff_3",1186.401108401829
174,"0__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",100.17058611308867
175,0__fourier_entropy__bins_2,4.696213671271973
176,0__partial_autocorrelation__lag_2,41.62955166788567
177,0__cid_ce__normalize_True,6.731037090780157
178,"0__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",21109340.102271076
179,"0__fft_coefficient__attr_""angle""__coeff_6",1737.5541416260742
180,0__ratio_beyond_r_sigma__r_1.5,10.752180084323467
181,"0__agg_autocorrelation__f_agg_""median""__maxlag_40",9.0502489908651
182,"0__fft_coefficient__attr_""angle""__coeff_4",1681.9697534777936
183,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",26410.75249332888
184,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",12556.34447872542
185,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",26160.07139712888
186,0__autocorrelation__lag_2,33.16177977971128
187,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",27413.504137596396
188,0__quantile__q_0.2,5.077957222169227
189,"0__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)",17845296480.03715
190,0__partial_autocorrelation__lag_8,2.673988896900358
191,"0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",133832564481.60518
192,"0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",148183720300.42432
193,0__autocorrelation__lag_6,12.05964762831749
194,"0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",143813754446.53592
195,"0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",150320414798.7482
196,"0__fft_coefficient__attr_""angle""__coeff_5",1349.6880263764542
197,"0__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",15448787475.800795
198,"0__fft_coefficient__attr_""real""__coeff_1",18789503090.99157
199,"0__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)",26667611884.07378
200,0__c3__lag_1,12743.971850601609
201,"0__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",15.256369666998323
202,"0__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)",134640785296.13728
203,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",24401.50542645565
204,"0__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)",31011720824.049274
205,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",15924.99677226448
206,0__ar_coefficient__coeff_2__k_10,7.006394765283728
207,0__ratio_beyond_r_sigma__r_2,8.663769467855955
208,0__count_above_mean,43.36780217534229
209,0__count_below_mean,57.10374106933816
210,0__range_count__max_1__min_-1,12.128044068831214
211,"0__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)",93084197167.75859
212,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",2972.5926098306873
213,"0__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",152359674798.5553
214,0__number_cwt_peaks__n_1,2.8260647256446583
215,0__fourier_entropy__bins_100,7.19611195433597
216,"0__fft_coefficient__attr_""imag""__coeff_2",2996073044.0024123
217,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0",1.8908442131103926
218,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",187.8866991356206
219,0__index_mass_quantile__q_0.9,8.566134727055061
220,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",4.48994030243698
221,0__lempel_ziv_complexity__bins_2,6.632710092908283
222,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",2376.7183879914037
223,0__number_cwt_peaks__n_5,2.485388465442774
224,"0__fft_coefficient__attr_""imag""__coeff_3",4417032417.535428
225,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",2.094069796518286
226,0__partial_autocorrelation__lag_7,3.812080028908718
227,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",1132.4089800755787
228,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",3.1876535378686803
229,0__ratio_beyond_r_sigma__r_2.5,4.716287405545674
230,0__quantile__q_0.8,601.6451476862418
231,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",3.3779405857428935
232,"0__fft_aggregated__aggtype_""skew""",9.742947169893862
233,0__number_peaks__n_10,15.701981539371078
234,"0__fft_coefficient__attr_""angle""__coeff_8",1403.428528104113
235,"0__linear_trend__attr_""rvalue""",13.561890785780449
236,"0__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",28866790.709635146
237,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",1.4378256291931624
238,"0__fft_coefficient__attr_""angle""__coeff_7",1381.4371650390158
239,"0__linear_trend__attr_""pvalue""",13.26926405273908
240,0__ar_coefficient__coeff_3__k_10,3.969266022574281
241,0__time_reversal_asymmetry_statistic__lag_2,15597702.603160866
242,"0__fft_coefficient__attr_""angle""__coeff_2",5398.321059426266
243,"0__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)",1182496401.8142052
244,0__quantile__q_0.3,4.494743912848702
245,"0__fft_coefficient__attr_""angle""__coeff_9",1148.2238033781846
246,0__lempel_ziv_complexity__bins_10,5.609233157517998
247,0__ar_coefficient__coeff_8__k_10,139.49401857811196
248,0__kurtosis,342.60046701901905
249,0__variation_coefficient,34.41529531700043
250,0__ar_coefficient__coeff_7__k_10,89.0374845680927
251,"0__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",14936470007.895063
252,0__time_reversal_asymmetry_statistic__lag_1,193735961.5727939
253,"0__fft_coefficient__attr_""real""__coeff_5",2270967918.4005075
254,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",2.5342101728543005
255,"0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",5029577783.204693
256,0__ratio_beyond_r_sigma__r_0.5,6.8091438461425815
257,0__index_mass_quantile__q_0.6,10.185187352014582
258,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",2.3458414751974135
259,0__lempel_ziv_complexity__bins_3,6.0538926911531625
260,"0__fft_coefficient__attr_""real""__coeff_4",1361889889.2067273
261,"0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",5033076789.039004
262,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",2.716676542350683
263,0__skewness,146.44169028394757
264,"0__fft_coefficient__attr_""angle""__coeff_13",1243473.1340955044
265,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",2.1729632852168894
266,0__large_standard_deviation__r_0.25,4.892281952462286
267,0__time_reversal_asymmetry_statistic__lag_3,87733029968.45102
268,"0__fft_coefficient__attr_""angle""__coeff_12",1883.925889461513
269,0__ar_coefficient__coeff_4__k_10,5.001469164934866
270,0__partial_autocorrelation__lag_9,2.3793559972715848
271,"0__fft_aggregated__aggtype_""kurtosis""",67.38127676596456
272,"0__agg_autocorrelation__f_agg_""var""__maxlag_40",9.386407224949833
273,0__ratio_beyond_r_sigma__r_1,9.569269405583913
274,0__partial_autocorrelation__lag_6,9.935316354658834
275,0__autocorrelation__lag_5,14.02607158675324
276,0__binned_entropy__max_bins_10,7.002700402137413
277,0__partial_autocorrelation__lag_3,17.171779832757146
278,"0__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",31.941191421427305
279,"0__fft_aggregated__aggtype_""variance""",183.61788408750974
280,"0__fft_coefficient__attr_""imag""__coeff_4",4697831469.475981
281,0__c3__lag_2,6010.25754671043
282,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",62.61916213525915
283,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",3.2752068636140446
284,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",3.069406074991612
285,"0__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)",75201713.92612585
286,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",136.80712649055226
287,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",125.5451330855233
288,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",23.816274840313504
289,0__symmetry_looking__r_0.1,3.6875234881232073
290,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",1259.4859359930165
291,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",1481.4744840899552
292,0__ar_coefficient__coeff_10__k_10,239.99900416463885
293,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",22.9292164031592
294,0__ar_coefficient__coeff_5__k_10,7.434797788375031
295,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",88.37359975728329
296,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",52.7895970093319
297,"0__fft_coefficient__attr_""angle""__coeff_10",1312.936416071878
298,"0__fft_coefficient__attr_""imag""__coeff_9",2458248433.639129
299,"0__fft_coefficient__attr_""angle""__coeff_11",1365.7025763811932
300,"0__fft_coefficient__attr_""real""__coeff_3",175274488.22987875
301,"0__fft_coefficient__attr_""imag""__coeff_6",267842735.65553504
302,"0__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",2.563521211055531
303,0__ar_coefficient__coeff_6__k_10,83.75982332029957
304,"0__fft_coefficient__attr_""real""__coeff_8",777729340.8711336
305,"0__fft_coefficient__attr_""real""__coeff_9",230084273.6788441
306,"0__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",7586.234643825341
307,"0__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",39.52862391964936
308,"0__fft_coefficient__attr_""imag""__coeff_8",878864155.8730178
309,0__quantile__q_0.7,52.145047225716176
310,"0__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",29786007317.337776
311,"0__fft_aggregated__aggtype_""centroid""",24.729459588094016
312,"0__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)",10752297069.047382
313,0__energy_ratio_by_chunks__num_segments_10__segment_focus_3,36.11069234124607
314,"0__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",152775739178.40106
315,"0__fft_coefficient__attr_""real""__coeff_13",1938009438.037245
316,"0__fft_coefficient__attr_""imag""__coeff_12",174292518.15636212
317,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2",1.8461753947865425
318,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2",2.403247339780727
319,0__autocorrelation__lag_3,17.12339849861506
320,"0__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",48.32070267166918
321,0__ratio_beyond_r_sigma__r_3,2.11415065848838
322,"0__fft_coefficient__attr_""imag""__coeff_10",1838736412.593972
323,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",1.5900804376554931
324,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",7.396599762957634
325,0__quantile__q_0.4,8.320086162610147
326,"0__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",285146207.3984541
327,"0__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",7.630880459170183
328,0__ar_coefficient__coeff_9__k_10,7.2552250486456655
329,0__energy_ratio_by_chunks__num_segments_10__segment_focus_1,20.753917356235796
330,"0__fft_coefficient__attr_""real""__coeff_7",1243817197.6799798
331,0__mean_change,863656.5294804366
332,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",1314895.6533507917
333,"0__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",11.278334965761912
334,0__median,75.63521612351573
335,"0__fft_coefficient__attr_""imag""__coeff_7",81317848.09314264
336,"0__fft_coefficient__attr_""real""__coeff_11",329323655.9367856
337,0__index_mass_quantile__q_0.7,7.987336228319507
338,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",28.040260663006475
339,0__lempel_ziv_complexity__bins_5,6.339099382661012
340,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",4.227489573315884
341,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",1.723532422717856
342,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",1.723532422717856
343,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",2.4792229899677527
344,0__partial_autocorrelation__lag_5,6.907793879742908
345,"0__fft_coefficient__attr_""imag""__coeff_5",525031337.0813725
346,0__sum_of_reoccurring_values,370.57229034615204
347,0__mean_second_derivative_central,190993.3247280406
348,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",4.8649393420309375
349,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",4.486198770733827
350,0__quantile__q_0.6,13.421654831953646
351,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4",28.138118172318833
352,0__c3__lag_3,6092.584771600838
353,"0__fft_coefficient__attr_""imag""__coeff_11",1478204920.0538082
354,0__partial_autocorrelation__lag_4,8.825506266308995
355,"0__fft_coefficient__attr_""real""__coeff_12",3441681000.5379987
356,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",11.39389915344894
357,"0__fft_coefficient__attr_""real""__coeff_6",2454956016.387359
358,0__autocorrelation__lag_4,9.462899739618612
359,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",26.10562441787491
360,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",1.7399705714205222
361,"0__fft_coefficient__attr_""real""__coeff_10",28451306.23144556
362,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",1.7949460784464375
363,0__index_mass_quantile__q_0.8,7.017737295009559
364,0__friedrich_coefficients__coeff_3__m_3__r_30,3803.482321216666
365,0__friedrich_coefficients__coeff_1__m_3__r_30,826.2953682945912
366,0__friedrich_coefficients__coeff_0__m_3__r_30,668.1561808099405
367,0__large_standard_deviation__r_0.30000000000000004,2.0955511492695447
368,0__friedrich_coefficients__coeff_2__m_3__r_30,168.2346813941939
369,0__max_langevin_fixed_point__m_3__r_30,29917.052379462406
370,y,2.2036062412098536
371,0__number_peaks__n_5:Log_0__number_peaks__n_5,10.444641499612214
372,0__number_peaks__n_3:Log_0__number_peaks__n_3,5.261351307617891
373,0__energy_ratio_by_chunks__num_segments_10__segment_focus_0:Log_0__energy_ratio_by_chunks__num_segments_10__segment_focus_0,17.15453270218559
374,0__minimum:Log_0__minimum,2.1653811919058916
